product_title,cluster_label,category_label,brand
apple iphone 8 plus 64gb silver,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64 gb spacegrau,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64gb space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64 gb space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64gb space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64gb space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64gb space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 5.5 single sim 4g 64gb silver,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
sim free iphone 8 plus 64gb by apple space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64gb gold smartphone,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 5.5 single sim 4g 64gb grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64 gb silver,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 64gb silver unlocked,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
iphone 8 plus sim free water dust resistant 64gb silver by apple,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
iphone 8 plus 64gb space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple iphone 8 plus,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
sim free iphone 8 plus 64gb mobile phone space grey,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock,Apple iPhone 8 Plus 64GB,Mobile Phones,Apple
apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32 gb rose gold,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb rose gold,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb silver,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus silver 32gb 4g unlocked sim free,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus silver 32gb 4g unlocked sim free,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus jet black 32 gb,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb silver,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb black,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb black,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
iphone 7 plus 32gb black,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
sim free iphone 7 plus 32gb by apple black,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb schwarz smartphone,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
sim free iphone 7 plus 32gb mobile phone silver,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus 32gb rosegold 3 brand new,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
iphone 7 plus 32gb silver,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple iphone 7 plus,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
iphone 7 plus 32gb rose gold mnqq2b/a wc01,Apple iPhone 7 Plus 32GB,Mobile Phones,Apple
apple grade b iphone 7 32gb gold handset only,Apple iPhone 7 32GB,Mobile Phones,Apple
grade b apple iphone 7 32gb silver handset only,Apple iPhone 7 32GB,Mobile Phones,Apple
apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32 gb matt schwarz,Apple iPhone 7 32GB,Mobile Phones,Apple
iphone 7 32gb gold,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 black 32 gb,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb silver,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb black,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb silver unlocked,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb rose gold unlocked,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb schwarz smartphone,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb gold,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 black 4.7 32gb 4g unlocked sim free,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah gold,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah black,Apple iPhone 7 32GB,Mobile Phones,Apple
sim free iphone 7 32gb mobile phone jet black,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb jet black,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7 32gb silver unlocked brand new,Apple iPhone 7 32GB,Mobile Phones,Apple
iphone 7 32gb black,Apple iPhone 7 32GB,Mobile Phones,Apple
apple iphone 7,Apple iPhone 7 32GB,Mobile Phones,Apple
iphone 7 32gb black mn8x2b/a wc01,Apple iPhone 7 32GB,Mobile Phones,Apple
