date,sessions,transactions,transactionRevenue,transactionsPerSession,revenuePerTransaction
2017-01-01,1029,14,949.78,1.3605442176870748,67.84142857142857
2017-01-02,1079,28,1292.19,2.5949953660797034,46.14964285714286
2017-01-03,1071,23,868.64,2.1475256769374416,37.76695652173913
2017-01-04,953,15,958.11,1.5739769150052465,63.874
2017-01-05,860,12,565.24,1.3953488372093024,47.10333333333334
2017-01-06,896,19,1033.07,2.1205357142857144,54.3721052631579
2017-01-07,1293,15,638.66,1.160092807424594,42.577333333333335
2017-01-08,1588,25,2039.0,1.5743073047858942,81.56
2017-01-09,990,17,1206.29,1.7171717171717171,70.95823529411764
2017-01-10,949,15,1315.5,1.5806111696522658,87.7
2017-01-11,889,15,1252.17,1.687289088863892,83.478
2017-01-12,825,15,758.24,1.8181818181818181,50.54933333333334
2017-01-13,811,8,568.33,0.9864364981504316,71.04125
2017-01-14,1193,11,671.96,0.9220452640402346,61.087272727272726
2017-01-15,1425,18,1063.17,1.263157894736842,59.065
2017-01-16,965,25,1660.44,2.5906735751295336,66.4176
2017-01-17,847,13,1248.98,1.5348288075560803,96.0753846153846
2017-01-18,940,19,1592.15,2.021276595744681,83.79736842105264
2017-01-19,821,20,928.45,2.4360535931790497,46.4225
2017-01-20,890,21,890.03,2.359550561797753,42.382380952380956
2017-01-21,1162,18,846.11,1.549053356282272,47.00611111111111
2017-01-22,1450,22,1159.05,1.5172413793103448,52.684090909090905
2017-01-23,977,22,1253.11,2.2517911975435005,56.959545454545456
2017-01-24,886,14,1052.68,1.580135440180587,75.19142857142857
2017-01-25,963,24,3602.64,2.4922118380062304,150.11
2017-01-26,885,32,1253.08,3.615819209039548,39.15875
2017-01-27,856,17,953.06,1.9859813084112148,56.06235294117647
2017-01-28,1156,14,537.56,1.2110726643598615,38.39714285714286
2017-01-29,1486,21,980.85,1.4131897711978465,46.707142857142856
2017-01-30,980,28,1893.12,2.857142857142857,67.61142857142856
2017-01-31,898,25,1326.14,2.783964365256125,53.0456
2017-02-01,921,9,1049.53,0.9771986970684038,116.61444444444444
2017-02-02,846,11,423.06,1.3002364066193852,38.46
2017-02-03,845,12,564.26,1.4201183431952662,47.02166666666666
2017-02-04,1105,14,624.69,1.2669683257918551,44.620714285714286
2017-02-05,1445,11,522.98,0.7612456747404844,47.54363636363637
2017-02-06,872,15,868.03,1.7201834862385321,57.86866666666666
2017-02-07,900,11,934.58,1.2222222222222223,84.96181818181819
2017-02-08,869,16,905.34,1.8411967779056386,56.58375
2017-02-09,723,9,855.84,1.2448132780082988,95.09333333333333
2017-02-10,669,8,608.69,1.195814648729447,76.08625
2017-02-11,1011,15,827.71,1.483679525222552,55.18066666666667
2017-02-12,1214,16,722.52,1.3179571663920924,45.1575
