,date,sessions,transactions,transactionRevenue,transactionsPerSession,revenuePerTransaction
0,2021-01-01,8116,125,8646.4,1.540167570231641,69.1712
1,2021-01-02,9176,161,8135.11,1.7545771578029643,50.52863354037267
2,2021-01-03,10080,157,8756.04,1.5575396825396826,55.77095541401274
3,2021-01-04,7932,99,5776.18,1.248108925869894,58.345252525252526
4,2021-01-05,7020,91,4234.57,1.2962962962962963,46.533736263736266
5,2021-01-06,6945,99,4357.49,1.42548596112311,44.0150505050505
6,2021-01-07,6737,87,5149.28,1.2913759833753895,59.18712643678161
7,2021-01-08,6689,112,6222.02,1.6743907908506501,55.55375
8,2021-01-09,8158,161,8274.7,1.9735229222848736,51.39565217391305
9,2021-01-10,9639,164,10618.14,1.7014213092644466,64.74475609756097
10,2021-01-11,8138,176,10082.52,2.1626935364954534,57.287045454545456
11,2021-01-12,7441,135,9646.47,1.8142722752318234,71.45533333333333
12,2021-01-13,7330,104,6339.29,1.4188267394270122,60.95471153846154
13,2021-01-14,7341,123,5413.84,1.6755210461789947,44.0149593495935
14,2021-01-15,6955,127,6884.09,1.8260244428468728,54.20543307086614
15,2021-01-16,9132,155,7492.03,1.6973280770915464,48.335677419354845
16,2021-01-17,10189,183,8111.65,1.7960545686524683,44.32595628415301
17,2021-01-18,8329,142,6699.19,1.7048865410013208,47.177394366197184
18,2021-01-19,8396,136,7074.78,1.6198189614101954,52.020441176470584
19,2021-01-20,8133,160,8069.19,1.9672937415467846,50.4324375
20,2021-01-21,8175,143,8397.43,1.7492354740061162,58.72328671328671
21,2021-01-22,7730,133,6243.53,1.7205692108667527,46.94383458646616
22,2021-01-23,9031,163,8357.22,1.8048942531281142,51.27128834355828
23,2021-01-24,10086,197,11910.68,1.9532024588538568,60.460304568527924
24,2021-01-25,8451,130,7068.11,1.538279493551059,54.37007692307692
25,2021-01-26,7985,140,9119.5,1.7532874139010644,65.13928571428572
26,2021-01-27,7921,133,7260.99,1.6790809241257416,54.59390977443609
27,2021-01-28,8312,134,8830.05,1.6121270452358036,65.89589552238806
28,2021-01-29,8366,166,9771.21,1.9842218503466413,58.86271084337349
29,2021-01-30,10572,199,15104.69,1.882330684827847,75.9029648241206
30,2021-01-31,11799,233,12537.68,1.9747436223408763,53.80978540772532
31,2021-02-01,8914,113,7159.98,1.2676688355396006,63.36265486725664
32,2021-02-02,7853,100,5523.97,1.273398701133325,55.2397
33,2021-02-03,7545,107,6689.57,1.418157720344599,62.51934579439253
34,2021-02-04,7208,116,5028.43,1.609322974472808,43.348534482758616
35,2021-02-05,6752,118,5104.39,1.7476303317535544,43.25754237288135
36,2021-02-06,8519,149,7792.54,1.7490315764761122,52.29892617449664
37,2021-02-07,9797,148,7610.13,1.5106665305705829,51.4197972972973
38,2021-02-08,7558,120,5948.4,1.587721619476052,49.57
39,2021-02-09,6547,94,4991.16,1.435772109363067,53.09744680851064
40,2021-02-10,5902,95,5472.04,1.6096238563198917,57.60042105263158
41,2021-02-11,6010,99,4025.71,1.6472545757071546,40.66373737373737
42,2021-02-12,5781,105,5666.82,1.816294758692268,53.96971428571428
43,2021-02-13,6692,114,6175.49,1.7035265989240884,54.1709649122807
44,2021-02-14,8135,127,6806.94,1.5611555009219422,53.59795275590551
45,2021-02-15,7109,123,6528.64,1.7302011534674355,53.07837398373984
46,2021-02-16,6670,151,8647.84,2.2638680659670163,57.27046357615894
47,2021-02-17,6539,142,7887.91,2.171585869398991,55.54866197183099
48,2021-02-18,6821,133,9913.83,1.9498607242339834,74.54007518796992
49,2021-02-19,6708,124,6780.57,1.8485390578413834,54.68201612903226
50,2021-02-20,8136,173,9460.61,2.1263520157325466,54.685606936416185
51,2021-02-21,9602,227,11798.02,2.364090814413664,51.973656387665194
52,2021-02-22,7473,161,12220.29,2.154422587983407,75.90242236024845
53,2021-02-23,6871,160,7950.18,2.3286275651288024,49.688625
54,2021-02-24,6975,154,7230.42,2.207885304659498,46.95077922077922
55,2021-02-25,6958,173,10779.22,2.486346651336591,62.307630057803465
56,2021-02-26,6709,182,10448.4,2.712773885825011,57.408791208791214
57,2021-02-27,8143,158,10619.3,1.9403168365467274,67.21075949367088
58,2021-02-28,10291,257,18131.95,2.4973277621222425,70.55233463035019
59,2021-03-01,7690,176,8903.85,2.2886866059817943,50.59005681818182
60,2021-03-02,7151,151,8831.54,2.1115927842259823,58.48701986754966
61,2021-03-03,6479,136,7717.13,2.099089365642846,56.743602941176476
62,2021-03-04,6274,115,7776.38,1.8329614281160342,67.62069565217391
63,2021-03-05,5970,134,8195.73,2.2445561139028474,61.16216417910448
64,2021-03-06,7438,152,8311.4,2.043560096800215,54.680263157894736
65,2021-03-07,8857,192,12730.46,2.1677768996274134,66.30447916666667
66,2021-03-08,6869,146,11460.43,2.12549133789489,78.49609589041096
67,2021-03-09,6290,148,8597.23,2.3529411764705883,58.08939189189189
68,2021-03-10,6120,126,7469.61,2.0588235294117645,59.28261904761904
69,2021-03-11,6083,115,7251.12,1.8905145487423967,63.05321739130435
70,2021-03-12,6078,116,6998.4,1.9085225403093122,60.33103448275862
71,2021-03-13,7155,119,6088.36,1.6631726065688328,51.162689075630254
72,2021-03-14,8277,158,15790.86,1.90890419234022,99.94215189873418
73,2021-03-15,6773,159,9206.72,2.3475564742359367,57.90389937106919
74,2021-03-16,6615,159,9913.67,2.4036281179138324,62.350125786163524
75,2021-03-17,6379,131,7785.58,2.0536134190311963,59.43190839694656
76,2021-03-18,6246,113,5985.81,1.8091578610310597,52.971769911504424
77,2021-03-19,5680,105,7943.84,1.8485915492957745,75.65561904761904
78,2021-03-20,7624,143,7420.04,1.8756558237145855,51.88839160839161
79,2021-03-21,9146,186,11791.85,2.0336759239011593,63.39704301075268
80,2021-03-22,7405,171,10712.29,2.309250506414585,62.64497076023392
81,2021-03-23,6968,152,13950.29,2.1814006888633752,91.77822368421053
82,2021-03-24,7010,133,7777.39,1.897289586305278,58.47661654135338
83,2021-03-25,6652,123,9462.42,1.8490679494888755,76.93024390243903
84,2021-03-26,6576,149,7572.95,2.2658150851581507,50.825167785234896
85,2021-03-27,8066,166,12918.94,2.0580213240763703,77.82493975903614
86,2021-03-28,9095,184,11780.29,2.0230896096756457,64.0233152173913
87,2021-03-29,7777,170,11748.84,2.185932879002186,69.11082352941176
88,2021-03-30,7709,206,13460.16,2.6722013231288106,65.34058252427185
89,2021-03-31,6916,179,11567.01,2.5882012724117986,64.62016759776536
90,2021-04-01,6762,155,12974.32,2.292221236320615,83.70529032258065
91,2021-04-02,7551,152,11096.77,2.0129784134551714,73.00506578947368
92,2021-04-03,7709,164,10005.94,2.1273835776365284,61.01182926829268
93,2021-04-04,8264,161,10889.41,1.9482090997095838,67.63608695652174
94,2021-04-05,9539,191,13823.67,2.0023063214173393,72.37523560209425
95,2021-04-06,7265,123,9479.59,1.6930488644184445,77.06983739837398
96,2021-04-07,7285,130,10100.62,1.7844886753603295,77.69707692307692
97,2021-04-08,7237,125,7027.18,1.727235042144535,56.21744
98,2021-04-09,6587,134,9028.83,2.0343100045544253,67.37932835820895
99,2021-04-10,7974,148,8454.28,1.8560321043391022,57.123513513513515
100,2021-04-11,9381,180,9647.76,1.9187719859290056,53.59866666666667
101,2021-04-12,6836,112,7387.11,1.638385020479813,65.95633928571428
102,2021-04-13,6484,147,9317.66,2.2671190623072177,63.38544217687075
103,2021-04-14,5798,126,7558.97,2.1731631597102448,59.9918253968254
104,2021-04-15,6048,127,8200.6,2.099867724867725,64.5716535433071
105,2021-04-16,6172,127,7543.73,2.057679844458846,59.39944881889763
106,2021-04-17,6789,138,6929.76,2.0326999558108705,50.21565217391305
107,2021-04-18,8787,193,12786.64,2.196426539205645,66.2520207253886
108,2021-04-19,7781,186,11594.73,2.3904382470119523,62.33725806451613
109,2021-04-20,7217,181,11916.84,2.507967299431897,65.8388950276243
110,2021-04-21,6709,150,9536.06,2.2358026531524815,63.57373333333334
111,2021-04-22,6517,160,10379.66,2.455117385299985,64.872875
112,2021-04-23,6302,131,9506.41,2.078705172960965,72.56801526717557
113,2021-04-24,7573,166,9818.37,2.191997887230952,59.14680722891566
114,2021-04-25,9502,224,12944.92,2.3573984424331718,57.78982142857143
115,2021-04-26,7736,160,10606.77,2.0682523267838677,66.2923125
116,2021-04-27,7784,186,11336.63,2.389516957862282,60.94962365591398
117,2021-04-28,7081,140,9117.46,1.977121875441322,65.12471428571429
118,2021-04-29,6739,137,8807.61,2.03294257308206,64.28912408759123
119,2021-04-30,6973,138,11055.7,1.97906209665854,80.11376811594204
120,2021-05-01,8959,176,11954.68,1.9645049670722181,67.9243181818182
121,2021-05-02,11053,173,9690.33,1.5651859223740163,56.01346820809249
122,2021-05-03,12529,212,14548.29,1.692074387421183,68.62400943396227
123,2021-05-04,8307,173,11117.57,2.0825809558203923,64.26341040462428
124,2021-05-05,7517,147,10884.02,1.9555673806039644,74.04095238095239
125,2021-05-06,7395,186,11263.18,2.5152129817444218,60.5547311827957
126,2021-05-07,7126,150,9691.99,2.104967723828235,64.61326666666666
127,2021-05-08,8997,180,12953.78,2.0006668889629875,71.96544444444444
128,2021-05-09,10895,216,14136.11,1.9825608077099588,65.4449537037037
129,2021-05-10,8968,192,11877.73,2.140945584299732,61.86317708333333
130,2021-05-11,8009,189,11436.22,2.3598451741790485,60.50910052910053
131,2021-05-12,7640,179,10666.14,2.342931937172775,59.58737430167597
132,2021-05-13,7199,137,10409.1,1.9030420891790527,75.97883211678833
133,2021-05-14,6920,124,7204.95,1.7919075144508672,58.104435483870965
134,2021-05-15,8672,188,10177.83,2.1678966789667897,54.137393617021274
135,2021-05-16,10724,253,18143.12,2.359194330473704,71.71193675889329
136,2021-05-17,8125,160,12275.06,1.9692307692307693,76.719125
137,2021-05-18,7473,170,10777.88,2.274856148802355,63.39929411764706
138,2021-05-19,6687,163,8376.14,2.4375654254523704,51.38736196319018
139,2021-05-20,6511,124,7880.17,1.9044693595453848,63.549758064516126
140,2021-05-21,6354,120,8492.62,1.8885741265344664,70.77183333333333
141,2021-05-22,7140,136,8288.51,1.9047619047619049,60.944926470588236
142,2021-05-23,8999,151,7768.49,1.6779642182464718,51.4469536423841
143,2021-05-24,7613,160,10683.31,2.1016681991330617,66.7706875
144,2021-05-25,7182,163,10749.82,2.2695627958785853,65.94981595092024
145,2021-05-26,6308,150,8667.64,2.3779327837666457,57.78426666666667
146,2021-05-27,6336,144,9754.58,2.272727272727273,67.7401388888889
147,2021-05-28,6315,171,9755.75,2.7078384798099764,57.05116959064327
148,2021-05-29,7045,156,9448.85,2.214336408800568,60.56955128205128
149,2021-05-30,7421,185,11714.03,2.4929254817410054,63.31908108108108
150,2021-05-31,8425,249,14935.38,2.955489614243324,59.98144578313253
151,2021-06-01,7714,228,16763.19,2.955665024630542,73.52276315789473
152,2021-06-02,7438,206,14274.38,2.769561710137134,69.2931067961165
153,2021-06-03,7240,210,13066.53,2.9005524861878453,62.22157142857142
154,2021-06-04,6602,173,10284.0,2.6204180551348077,59.445086705202314
155,2021-06-05,7180,178,10784.94,2.479108635097493,60.58955056179775
156,2021-06-06,9232,257,19194.43,2.783795493934142,74.68649805447471
157,2021-06-07,7834,201,11659.31,2.5657390860352307,58.006517412935324
158,2021-06-08,7646,228,14007.64,2.9819513471095997,61.437017543859646
159,2021-06-09,7984,211,13454.89,2.6427855711422845,63.76725118483412
160,2021-06-10,7735,190,13804.85,2.4563671622495153,72.65710526315789
161,2021-06-11,7522,165,11514.26,2.1935655410795,69.78339393939393
162,2021-06-12,7909,170,8618.33,2.1494499936780884,50.69605882352941
163,2021-06-13,9163,264,14834.65,2.881152460984394,56.191856060606064
164,2021-06-14,8689,279,23359.09,3.2109563816319486,83.72433691756272
165,2021-06-15,8416,257,16738.11,3.053707224334601,65.1288326848249
166,2021-06-16,7706,210,14422.58,2.7251492343628345,68.67895238095238
167,2021-06-17,7472,156,10595.33,2.08779443254818,67.91878205128205
168,2021-06-18,6444,152,7011.52,2.3587833643699563,46.12842105263158
169,2021-06-19,7668,158,8327.62,2.0605112154407927,52.70645569620253
170,2021-06-20,9165,184,11722.26,2.0076377523186033,63.707934782608696
171,2021-06-21,7854,188,12668.17,2.393684746625923,67.3838829787234
172,2021-06-22,7251,171,10275.55,2.3582954075299956,60.09093567251462
173,2021-06-23,7252,176,11621.6,2.4269167126309985,66.03181818181818
174,2021-06-24,7450,145,7831.43,1.9463087248322148,54.00986206896552
175,2021-06-25,7058,161,9912.89,2.2810994616038536,61.57074534161491
176,2021-06-26,7834,189,11625.32,2.412560633137605,61.50962962962963
177,2021-06-27,9984,233,13216.58,2.3337339743589745,56.72351931330472
178,2021-06-28,8175,192,11012.9,2.3486238532110093,57.35885416666667
179,2021-06-29,6890,173,10985.75,2.51088534107402,63.5014450867052
180,2021-06-30,6832,168,16767.05,2.459016393442623,99.80386904761905
181,2021-07-01,7150,190,11037.26,2.6573426573426575,58.09084210526316
182,2021-07-02,7031,171,11394.52,2.432086474185749,66.63461988304094
183,2021-07-03,8389,157,12288.5,1.8714983907497915,78.27070063694266
184,2021-07-04,10230,218,13508.43,2.1309872922776147,61.9652752293578
185,2021-07-05,8608,216,12356.78,2.509293680297398,57.207314814814815
186,2021-07-06,8559,212,12705.03,2.476924874401215,59.929386792452824
187,2021-07-07,7284,184,9736.41,2.5260845689181766,52.91527173913044
188,2021-07-08,7237,176,12678.74,2.4319469393395052,72.03829545454545
189,2021-07-09,7085,161,10394.04,2.2724064925899787,64.55925465838509
190,2021-07-10,8610,177,12077.11,2.0557491289198606,68.23225988700565
191,2021-07-11,8348,246,14217.75,2.9468136080498324,57.795731707317074
192,2021-07-12,8203,170,12368.19,2.0724125320004876,72.7540588235294
193,2021-07-13,8467,221,14983.15,2.6101334593126255,67.79705882352941
194,2021-07-14,8007,192,14637.11,2.397901835893593,76.23494791666667
195,2021-07-15,8031,184,10540.3,2.291121902627319,57.284239130434784
196,2021-07-16,7798,198,13001.9,2.539112592972557,65.66616161616162
197,2021-07-17,8809,222,12717.91,2.5201498467476444,57.28788288288288
198,2021-07-18,10075,234,14121.83,2.3225806451612905,60.349700854700856
199,2021-07-19,9720,245,19436.3,2.5205761316872426,79.33183673469388
200,2021-07-20,9578,233,16870.58,2.432658174984339,72.40592274678112
201,2021-07-21,8927,217,11826.87,2.430827825697323,54.50170506912443
202,2021-07-22,8789,199,13696.56,2.2641938787120264,68.82693467336684
203,2021-07-23,7993,200,10986.47,2.5021894157387714,54.93235
204,2021-07-24,9300,199,10444.3,2.139784946236559,52.483919597989946
205,2021-07-25,11012,258,15960.14,2.3428986560116236,61.86100775193798
206,2021-07-26,9351,243,15357.88,2.598652550529355,63.20115226337448
207,2021-07-27,8970,207,11642.43,2.307692307692308,56.2436231884058
208,2021-07-28,8198,205,11262.02,2.5006099048548425,54.93668292682927
209,2021-07-29,7628,185,11675.39,2.4252753015207134,63.110216216216216
210,2021-07-30,7173,138,8309.64,1.9238812212463405,60.21478260869565
211,2021-07-31,8073,203,13394.23,2.5145546884677317,65.98142857142858
212,2021-08-01,9620,193,11743.79,2.0062370062370065,60.84865284974093
213,2021-08-02,8373,216,12631.03,2.5797205302758868,58.47699074074074
214,2021-08-03,8170,185,11540.42,2.2643818849449207,62.38064864864865
215,2021-08-04,7559,201,14785.5,2.659081889138775,73.55970149253731
216,2021-08-05,7529,176,10908.53,2.3376278390224465,61.980284090909095
217,2021-08-06,7135,149,15222.19,2.088297126839523,102.16234899328859
218,2021-08-07,7838,151,9294.3,1.926511865271753,61.55165562913907
219,2021-08-08,9083,193,11475.63,2.124848618297919,59.45922279792746
220,2021-08-09,7923,177,13665.76,2.2340022718667174,77.20768361581922
221,2021-08-10,7662,216,11860.45,2.8191072826938135,54.909490740740736
222,2021-08-11,7077,181,9703.69,2.5575808958598274,53.61154696132596
223,2021-08-12,6883,188,13262.67,2.731367136423071,70.54611702127659
224,2021-08-13,6495,130,6921.28,2.001539645881447,53.24061538461538
225,2021-08-14,7113,154,10795.85,2.1650499086180233,70.10292207792207
