ga:date,ga:pageviews
2016-01-01,7566
2016-01-02,98
2016-01-03,1127
2016-01-04,98
2016-01-05,3675
2016-01-06,1994
2016-01-07,2930
2016-01-08,4586
2016-01-09,7948
2016-01-10,240
2016-01-11,2666
2016-01-12,1009
2016-01-13,1009
2016-01-14,314
2016-01-15,314
2016-01-16,1583
2016-01-17,1009
2016-01-18,382
2016-01-19,769
2016-01-20,554
2016-01-21,0
2016-01-22,0
2016-01-23,769
2016-01-24,1945
2016-01-25,191
2016-01-26,1514
2016-01-27,167
2016-01-28,191
2016-01-29,2185
2016-01-30,1102
2016-01-31,191
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,191
2016-02-06,15126
2016-02-07,1343
2016-02-08,745
2016-02-09,1058
2016-02-10,936
2016-02-11,363
2016-02-12,142
2016-02-13,0
2016-02-14,2543
2016-02-15,4851
2016-02-16,603
2016-02-17,696
2016-02-18,1034
2016-02-19,265
2016-02-20,1847
2016-02-21,1274
2016-02-22,1705
2016-02-23,2063
2016-02-24,12412
2016-02-25,2715
2016-02-26,2764
2016-02-27,6914
2016-02-28,1200
2016-02-29,3626
2016-03-01,3219
2016-03-02,3386
2016-03-03,1323
2016-03-04,818
2016-03-05,338
2016-03-06,1754
2016-03-07,1945
2016-03-08,480
2016-03-09,289
2016-03-10,1058
2016-03-11,769
2016-03-12,4155
2016-03-13,8379
2016-03-14,2543
2016-03-15,4371
2016-03-16,7277
2016-03-17,5449
2016-03-18,4033
2016-03-19,2783
2016-03-20,1225
2016-03-21,2690
2016-03-22,5954
2016-03-23,4224
2016-03-24,3984
2016-03-25,3263
2016-03-26,7468
2016-03-27,6840
2016-03-28,3097
2016-03-29,1607
2016-03-30,1583
2016-03-31,2087
2016-04-01,2764
2016-04-02,2259
2016-04-03,2087
2016-04-04,1558
2016-04-05,2185
2016-04-06,1705
2016-04-07,1705
2016-04-08,1465
2016-04-09,1343
2016-04-10,1539
2016-04-11,2136
2016-04-12,1558
2016-04-13,1803
2016-04-14,1656
2016-04-15,3097
2016-04-16,4924
2016-04-17,3675
2016-04-18,4488
2016-04-19,2450
2016-04-20,1823
2016-04-21,2783
2016-04-22,3410
2016-04-23,3577
2016-04-24,2832
2016-04-25,5762
2016-04-26,3842
2016-04-27,2087
2016-04-28,1250
2016-04-29,1127
2016-04-30,2641
2016-05-01,4488
2016-05-02,8835
2016-05-03,3700
2016-05-04,1872
2016-05-05,4371
2016-05-06,1847
2016-05-07,3312
2016-05-08,2641
2016-05-09,2783
2016-05-10,4131
2016-05-11,2283
2016-05-12,2063
2016-05-13,2739
2016-05-14,3577
2016-05-15,2087
2016-05-16,2328
2016-05-17,2690
2016-05-18,2426
2016-05-19,2499
