Country,Users,New Users,Sessions,Bounces,Pageviews,Avg. Session Duration,Goal Completions
(not set),6,5,6,4,10,1,0
Albania,1,1,1,0,2,898,0
Algeria,1,1,1,1,1,0,0
Argentina,11,11,13,10,21,75.15384615,0
Australia,260,233,311,269,424,53.38585209,3
Austria,11,10,13,11,15,11.38461538,1
Azerbaijan,2,2,2,2,2,0,0
Belarus,1,1,1,1,1,0,0
Belgium,78,68,109,84,169,50.53211009,2
Bolivia,1,0,1,1,1,0,0
Bosnia & Herzegovina,7,7,10,9,12,33.3,0
Brazil,4,4,4,3,5,49.75,0
Bulgaria,14,13,15,13,18,35.26666667,0
Cambodia,2,1,2,2,2,0,0
Canada,567,523,676,568,951,74.21745562,6
Cayman Islands,1,1,1,1,1,0,0
Chile,14,12,18,15,25,127.9444444,0
China,3,2,3,3,3,0,0
Croatia,20,19,29,21,112,434.6206897,0
Czechia,39,34,49,40,86,92.12244898,0
Denmark,75,67,105,86,155,99.93333333,0
Egypt,1,1,1,1,1,0,0
El Salvador,1,1,1,0,3,26,1
Estonia,14,14,17,16,18,34.35294118,0
Ethiopia,1,1,2,1,3,82.5,0
Finland,88,80,119,98,146,44.61344538,2
France,103,99,143,85,410,170.8811189,5
Georgia,2,2,3,3,3,0,0
Germany,121,113,144,110,264,141.1666667,5
Greece,8,8,8,7,9,32.75,0
Guernsey,1,1,1,1,1,0,0
Hong Kong,3,3,3,3,3,0,0
Hungary,9,6,12,7,63,212,0
Iceland,24,24,28,27,31,4.928571429,0
India,7,6,8,8,8,0,0
Indonesia,4,4,6,5,7,71.66666667,0
Iran,1,1,2,2,2,0,0
Iraq,1,1,1,1,1,0,0
Ireland,218,187,306,234,470,83.79084967,5
Israel,5,5,6,5,9,379,0
Italy,93,80,188,138,316,171.3191489,4
Japan,12,12,14,12,17,56.64285714,0
Jersey,1,1,1,1,1,0,0
Kenya,11,8,18,11,39,101,0
Kosovo,1,1,1,0,2,431,0
Kuwait,1,1,1,1,1,0,0
Latvia,8,8,13,9,28,122.1538462,0
Lebanon,1,1,1,1,1,0,0
Lithuania,20,20,22,22,22,0,0
Luxembourg,10,10,16,12,34,257.75,0
Malaysia,6,6,6,6,6,0,0
Malta,11,11,11,10,13,1.909090909,0
Mauritius,1,1,1,1,1,0,0
Mexico,5,5,5,5,5,0,0
Mongolia,2,1,3,3,3,0,0
Montenegro,9,8,11,11,11,0,0
Morocco,2,2,2,2,2,0,0
Netherlands,127,115,171,144,291,76.97076023,5
New Zealand,112,98,130,110,166,58.56923077,1
Nigeria,1,1,1,1,1,0,0
Norway,150,134,182,149,258,76.04945055,2
Oman,1,1,1,1,1,0,0
Pakistan,6,6,10,9,11,0.9,1
Peru,2,2,2,2,2,0,0
Philippines,2,2,2,2,2,0,0
Poland,42,35,55,43,105,68.70909091,2
Portugal,5,2,5,3,15,26.4,0
Qatar,2,2,2,2,2,0,0
Romania,17,14,23,21,25,27.43478261,0
Russia,18,16,20,17,29,17.2,0
Serbia,10,9,11,10,14,30.90909091,0
Seychelles,1,1,2,2,2,0,0
Singapore,10,10,10,9,13,19.3,0
Slovakia,18,17,21,20,22,12.47619048,0
Slovenia,18,14,26,21,36,76.80769231,2
South Africa,125,111,150,124,197,73.72666667,1
South Korea,7,7,10,7,24,317.9,1
Spain,53,47,72,52,169,143.0138889,2
Sweden,276,235,427,360,586,74.1147541,3
Switzerland,29,28,35,29,74,107.2571429,0
Taiwan,1,1,1,1,1,0,0
Thailand,3,3,3,3,3,0,0
Trinidad & Tobago,1,1,1,1,1,0,0
Turkey,4,4,5,5,5,0,0
Ukraine,9,8,10,7,15,61.7,0
United Arab Emirates,7,5,7,6,8,253,0
United Kingdom,8490,7294,11886,8739,22140,118.2725055,215
United States,2443,2341,2829,2446,3563,54.11629551,30
Vietnam,2,2,2,2,2,0,0
Zimbabwe,1,1,1,1,1,0,0
